,url,filename,loc,lloc,sloc,comments,multi,blank,avg_cc
0,https://gitlab.com/kistolbov/cft-task,temp_repo/src/main.py,13,10,10,0,0,3,NaN
1,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/models/token.py,19,13,13,0,0,6,NaN
2,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/models/__init__.py,0,0,0,0,0,0,NaN
3,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/models/employee.py,43,22,32,0,0,11,NaN
4,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/schemas/token.py,6,6,4,0,0,2,NaN
5,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/schemas/__init__.py,0,0,0,0,0,0,NaN
6,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/schemas/employee.py,40,35,25,0,0,15,NaN
7,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/service/token.py,120,78,103,0,0,17,1.5454545454545454
8,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/service/__init__.py,0,0,0,0,0,0,NaN
9,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/service/employee.py,48,32,36,0,0,12,1.0
10,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/routes/token.py,50,35,41,0,0,9,1.6666666666666667
11,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/routes/__init__.py,0,0,0,0,0,0,NaN
12,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/routes/employee.py,45,33,35,0,0,10,2.0
13,https://gitlab.com/kistolbov/cft-task,temp_repo/src/app/__init__.py,0,0,0,0,0,0,NaN
14,https://gitlab.com/kistolbov/cft-task,temp_repo/src/database.py,21,15,15,0,0,6,1.0
15,https://gitlab.com/kistolbov/cft-task,temp_repo/src/config.py,33,34,25,0,0,8,NaN
16,https://gitlab.com/kistolbov/cft-task,temp_repo/src/__init__.py,1,1,1,0,0,0,NaN
17,https://gitlab.com/kistolbov/cft-task,temp_repo/migrations/versions/fe609b489634_create_employee_promotion_and_issued_.py,75,24,58,5,5,7,1.0
18,https://gitlab.com/kistolbov/cft-task,temp_repo/migrations/env.py,91,34,45,12,12,22,1.0
19,https://gitlab.com/luiggi0925/learning_python,temp_repo/ejercicios/asynchronous_event_queue/core/errors.py,5,4,2,0,0,1,NaN
20,https://gitlab.com/luiggi0925/learning_python,temp_repo/ejercicios/asynchronous_event_queue/core/event_queue.py,19,16,16,0,0,3,1.0
21,https://gitlab.com/luiggi0925/learning_python,temp_repo/ejercicios/asynchronous_event_queue/core/event_producer.py,5,4,4,0,0,1,1.0
22,https://gitlab.com/luiggi0925/learning_python,temp_repo/ejercicios/asynchronous_event_queue/core/event_consumer.py,8,6,6,0,0,2,1.0
23,https://gitlab.com/luiggi0925/learning_python,temp_repo/ejercicios/asynchronous_event_queue/core/event.py,9,9,7,0,0,2,NaN
